"[64, 5]","[59, 12]","[54, 20]","[48, 27]","[43, 34]","[38, 41]","[31, 48]","[25, 54]","[19, 61]","[13, 69]","[8, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[64, 1]","[62, 5]","[59, 12]","[55, 20]","[51, 28]","[48, 34]","[43, 42]","[40, 49]","[35, 56]","[31, 61]","[26, 68]","[21, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[65, 71]","[61, 69]","[55, 69]","[48, 64]","[41, 62]","[34, 58]","[27, 56]","[20, 53]","[13, 52]","[6, 49]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[62, 2]","[59, 9]","[56, 18]","[52, 26]","[48, 35]","[43, 43]","[38, 51]","[34, 58]","[29, 68]","[25, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[66, 71]","[64, 71]","[60, 68]","[55, 61]","[51, 58]","[46, 55]","[41, 51]","[36, 48]","[32, 44]","[27, 41]","[21, 37]","[16, 34]","[11, 30]","[5, 27]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[66, 70]","[61, 69]","[54, 62]","[47, 59]","[41, 54]","[34, 49]","[28, 44]","[21, 40]","[14, 35]","[8, 31]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[69, 4]","[63, 11]","[56, 18]","[51, 24]","[45, 31]","[38, 37]","[32, 43]","[24, 49]","[17, 54]","[10, 60]","[3, 66]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[69, 68]","[66, 66]","[61, 59]","[56, 54]","[52, 50]","[47, 48]","[43, 44]","[38, 38]","[33, 36]","[28, 32]","[23, 28]","[17, 24]","[12, 20]","[7, 15]","[1, 12]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[67, 1]","[61, 6]","[54, 12]","[51, 15]","[45, 21]","[38, 28]","[31, 34]","[26, 39]","[17, 46]","[11, 50]","[4, 56]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[69, 70]","[65, 68]","[60, 62]","[54, 57]","[49, 53]","[43, 49]","[37, 43]","[31, 38]","[25, 33]","[19, 28]","[13, 24]","[7, 19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[71, 3]","[66, 8]","[60, 17]","[55, 23]","[49, 31]","[42, 38]","[36, 45]","[30, 53]","[23, 57]","[17, 64]","[10, 69]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[70, 71]","[66, 68]","[59, 64]","[52, 58]","[45, 53]","[38, 49]","[32, 43]","[24, 38]","[18, 34]","[10, 29]","[2, 24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
