x,y,id,t
64,5,0,0
59,12,0,1
54,20,0,2
48,27,0,3
43,34,0,4
38,41,0,5
31,48,0,6
25,54,0,7
19,61,0,8
13,69,0,9
8,71,0,10
64,1,1,0
62,5,1,1
59,12,1,2
55,20,1,3
51,28,1,4
48,34,1,5
43,42,1,6
40,49,1,7
35,56,1,8
31,61,1,9
26,68,1,10
21,72,1,11
65,71,2,0
61,69,2,1
55,69,2,2
48,64,2,3
41,62,2,4
34,58,2,5
27,56,2,6
20,53,2,7
13,52,2,8
6,49,2,9
62,2,3,0
59,9,3,1
56,18,3,2
52,26,3,3
48,35,3,4
43,43,3,5
38,51,3,6
34,58,3,7
29,68,3,8
25,71,3,9
66,71,4,0
64,71,4,1
60,68,4,2
55,61,4,3
51,58,4,4
46,55,4,5
41,51,4,6
36,48,4,7
32,44,4,8
27,41,4,9
21,37,4,10
16,34,4,11
11,30,4,12
5,27,4,13
66,70,5,0
61,69,5,1
54,62,5,2
47,59,5,3
41,54,5,4
34,49,5,5
28,44,5,6
21,40,5,7
14,35,5,8
8,31,5,9
69,4,6,0
63,11,6,1
56,18,6,2
51,24,6,3
45,31,6,4
38,37,6,5
32,43,6,6
24,49,6,7
17,54,6,8
10,60,6,9
3,66,6,10
69,68,7,0
66,66,7,1
61,59,7,2
56,54,7,3
52,50,7,4
47,48,7,5
43,44,7,6
38,38,7,7
33,36,7,8
28,32,7,9
23,28,7,10
17,24,7,11
12,20,7,12
7,15,7,13
1,12,7,14
67,1,8,0
61,6,8,1
54,12,8,2
51,15,8,3
45,21,8,4
38,28,8,5
31,34,8,6
26,39,8,7
17,46,8,8
11,50,8,9
4,56,8,10
69,70,9,0
65,68,9,1
60,62,9,2
54,57,9,3
49,53,9,4
43,49,9,5
37,43,9,6
31,38,9,7
25,33,9,8
19,28,9,9
13,24,9,10
7,19,9,11
71,3,10,0
66,8,10,1
60,17,10,2
55,23,10,3
49,31,10,4
42,38,10,5
36,45,10,6
30,53,10,7
23,57,10,8
17,64,10,9
10,69,10,10
70,71,11,0
66,68,11,1
59,64,11,2
52,58,11,3
45,53,11,4
38,49,11,5
32,43,11,6
24,38,11,7
18,34,11,8
10,29,11,9
2,24,11,10
71,2,12,0
65,8,12,1
60,15,12,2
53,21,12,3
48,28,12,4
42,35,12,5
35,41,12,6
29,48,12,7
22,54,12,8
16,59,12,9
9,66,12,10
3,70,12,11
70,66,13,0
64,60,13,1
58,54,13,2
51,47,13,3
45,42,13,4
38,36,13,5
35,33,13,6
29,28,13,7
22,22,13,8
14,16,13,9
7,9,13,10
69,3,14,0
62,9,14,1
55,16,14,2
49,23,14,3
41,28,14,4
34,34,14,5
27,41,14,6
20,47,14,7
12,51,14,8
4,57,14,9
72,69,15,0
72,66,15,1
71,64,15,2
68,57,15,3
65,53,15,4
62,51,15,5
59,46,15,6
56,42,15,7
53,40,15,8
50,36,15,9
46,32,15,10
42,30,15,11
39,27,15,12
35,24,15,13
31,20,15,14
27,17,15,15
22,14,15,16
18,11,15,17
13,8,15,18
8,4,15,19
4,2,15,20
1,1,15,21
68,5,16,0
62,11,16,1
55,18,16,2
49,24,16,3
43,30,16,4
35,36,16,5
29,41,16,6
21,48,16,7
14,52,16,8
7,57,16,9
67,71,17,0
63,70,17,1
56,62,17,2
49,57,17,3
42,53,17,4
35,48,17,5
28,42,17,6
21,37,17,7
14,33,17,8
6,28,17,9
70,12,18,0
64,18,18,1
58,24,18,2
51,30,18,3
45,35,18,4
38,42,18,5
31,48,18,6
24,54,18,7
17,58,18,8
10,66,18,9
3,67,18,10
68,71,19,0
64,68,19,1
57,64,19,2
50,59,19,3
43,55,19,4
36,49,19,5
29,46,19,6
21,41,19,7
15,37,19,8
7,32,19,9
66,3,20,0
61,12,20,1
56,22,20,2
50,31,20,3
45,42,20,4
39,51,20,5
33,61,20,6
27,69,20,7
68,72,21,0
65,69,21,1
62,67,21,2
57,59,21,3
52,54,21,4
48,49,21,5
43,44,21,6
38,38,21,7
34,33,21,8
29,28,21,9
24,23,21,10
19,18,21,11
14,12,21,12
8,7,21,13
3,2,21,14
63,1,22,0
60,5,22,1
55,11,22,2
50,16,22,3
48,19,22,4
44,24,22,5
40,30,22,6
35,35,22,7
30,40,22,8
24,45,22,9
19,49,22,10
14,54,22,11
8,60,22,12
3,65,22,13
42,72,23,0
32,70,23,1
27,67,23,2
20,62,23,3
12,58,23,4
5,54,23,5
64,2,24,0
59,9,24,1
55,16,24,2
51,25,24,3
46,33,24,4
41,42,24,5
38,46,24,6
34,53,24,7
28,62,24,8
23,68,24,9
18,71,24,10
57,72,25,0
55,68,25,1
52,61,25,2
48,54,25,3
45,49,25,4
41,42,25,5
38,36,25,6
34,29,25,7
29,23,25,8
26,16,25,9
21,10,25,10
17,4,25,11
13,1,25,12
64,3,26,0
58,9,26,1
52,16,26,2
46,23,26,3
39,29,26,4
33,35,26,5
27,41,26,6
20,47,26,7
13,54,26,8
7,60,26,9
67,72,27,0
68,69,27,1
68,62,27,2
68,55,27,3
67,49,27,4
67,42,27,5
66,36,27,6
65,30,27,7
64,24,27,8
63,18,27,9
61,12,27,10
60,7,27,11
58,2,27,12
61,2,28,0
56,10,28,1
51,19,28,2
46,25,28,3
41,33,28,4
37,42,28,5
31,49,28,6
25,56,28,7
19,64,28,8
14,69,28,9
71,69,29,0
72,64,29,1
72,7,29,2
70,2,29,3
66,72,30,0
63,68,30,1
58,67,30,2
52,63,30,3
47,60,30,4
41,56,30,5
36,54,30,6
31,52,30,7
25,49,30,8
19,45,30,9
13,43,30,10
6,40,30,11
61,2,31,0
55,7,31,1
49,15,31,2
43,23,31,3
36,29,31,4
29,37,31,5
23,44,31,6
16,51,31,7
9,58,31,8
2,65,31,9
68,71,32,0
66,67,32,1
62,61,32,2
58,56,32,3
53,50,32,4
48,45,32,5
44,41,32,6
40,36,32,7
36,31,32,8
30,26,32,9
26,21,32,10
20,16,32,11
15,11,32,12
10,5,32,13
5,1,32,14
55,5,33,0
50,12,33,1
44,19,33,2
38,26,33,3
32,32,33,4
26,39,33,5
19,48,33,6
13,54,33,7
7,60,33,8
72,65,34,0
69,57,34,1
65,49,34,2
61,42,34,3
58,34,34,4
54,28,34,5
50,21,34,6
46,14,34,7
41,7,34,8
37,1,34,9
64,2,35,0
60,6,35,1
55,13,35,2
49,22,35,3
44,29,35,4
38,36,35,5
32,45,35,6
26,52,35,7
20,59,35,8
14,67,35,9
8,71,35,10
66,70,36,0
62,64,36,1
58,57,36,2
53,49,36,3
49,44,36,4
44,36,36,5
41,33,36,6
37,26,36,7
32,20,36,8
27,13,36,9
22,6,36,10
17,1,36,11
53,1,37,0
47,3,37,1
40,8,37,2
32,13,37,3
25,18,37,4
18,22,37,5
10,27,37,6
3,31,37,7
64,72,38,0
60,68,38,1
54,59,38,2
48,50,38,3
42,43,38,4
36,33,38,5
31,26,38,6
25,19,38,7
19,11,38,8
13,4,38,9
62,1,39,0
56,6,39,1
50,12,39,2
45,19,39,3
38,25,39,4
32,31,39,5
25,36,39,6
19,43,39,7
11,49,39,8
4,54,39,9
56,70,40,0
54,70,40,1
48,63,40,2
44,58,40,3
39,55,40,4
34,51,40,5
29,47,40,6
25,43,40,7
19,38,40,8
15,35,40,9
9,31,40,10
3,27,40,11
63,1,41,0
61,2,41,1
55,5,41,2
49,12,41,3
43,19,41,4
37,24,41,5
31,31,41,6
24,36,41,7
17,41,41,8
10,48,41,9
3,53,41,10
53,72,42,0
49,71,42,1
48,71,42,2
44,67,42,3
39,64,42,4
35,60,42,5
31,59,42,6
27,56,42,7
23,53,42,8
18,51,42,9
13,49,42,10
9,47,42,11
4,45,42,12
57,1,43,0
53,3,43,1
48,6,43,2
44,9,43,3
38,12,43,4
34,15,43,5
28,17,43,6
23,20,43,7
17,22,43,8
12,24,43,9
6,27,43,10
70,2,44,0
67,7,44,1
63,13,44,2
59,19,44,3
55,26,44,4
51,33,44,5
46,38,44,6
42,45,44,7
37,52,44,8
32,56,44,9
27,63,44,10
21,68,44,11
17,72,44,12
57,71,45,0
55,71,45,1
51,67,45,2
47,60,45,3
42,56,45,4
38,52,45,5
33,48,45,6
28,43,45,7
24,39,45,8
19,35,45,9
15,30,45,10
10,26,45,11
5,22,45,12
69,2,46,0
66,6,46,1
62,9,46,2
59,15,46,3
55,20,46,4
50,24,46,5
47,29,46,6
42,34,46,7
37,38,46,8
33,42,46,9
28,45,46,10
23,50,46,11
18,54,46,12
13,58,46,13
7,63,46,14
2,67,46,15
65,72,47,0
66,69,47,1
63,66,47,2
61,64,47,3
58,58,47,4
55,55,47,5
52,50,47,6
49,47,47,7
46,43,47,8
43,40,47,9
40,37,47,10
36,33,47,11
33,30,47,12
30,26,47,13
25,23,47,14
21,20,47,15
17,17,47,16
13,13,47,17
8,10,47,18
4,6,47,19
67,2,48,0
64,7,48,1
61,12,48,2
57,17,48,3
54,21,48,4
49,27,48,5
46,32,48,6
41,37,48,7
37,42,48,8
33,47,48,9
28,52,48,10
23,55,48,11
18,60,48,12
12,65,48,13
8,67,48,14
4,71,48,15
64,72,49,0
63,69,49,1
62,69,49,2
58,62,49,3
55,58,49,4
52,56,49,5
48,53,49,6
44,49,49,7
41,45,49,8
38,42,49,9
34,39,49,10
30,35,49,11
26,32,49,12
22,29,49,13
18,26,49,14
14,23,49,15
9,19,49,16
5,16,49,17
60,2,50,0
56,6,50,1
51,11,50,2
45,17,50,3
40,22,50,4
35,27,50,5
29,32,50,6
26,33,50,7
20,38,50,8
15,43,50,9
8,48,50,10
1,52,50,11
69,72,51,0
68,69,51,1
67,70,51,2
66,65,51,3
63,61,51,4
61,57,51,5
58,53,51,6
55,50,51,7
52,48,51,8
49,45,51,9
46,42,51,10
43,39,51,11
39,36,51,12
35,34,51,13
32,31,51,14
28,28,51,15
24,26,51,16
20,23,51,17
16,20,51,18
11,18,51,19
6,15,51,20
2,12,51,21
72,4,52,0
70,9,52,1
67,14,52,2
64,20,52,3
60,25,52,4
57,30,52,5
53,35,52,6
49,41,52,7
45,45,52,8
41,51,52,9
37,56,52,10
32,62,52,11
28,65,52,12
23,69,52,13
19,71,52,14
64,71,53,0
61,68,53,1
57,65,53,2
52,61,53,3
47,57,53,4
42,53,53,5
38,50,53,6
33,46,53,7
28,43,53,8
22,38,53,9
17,35,53,10
12,32,53,11
7,28,53,12
1,25,53,13
57,1,54,0
51,4,54,1
44,7,54,2
38,10,54,3
31,14,54,4
24,17,54,5
17,20,54,6
10,23,54,7
2,25,54,8
55,72,55,0
51,70,55,1
49,68,55,2
45,65,55,3
40,62,55,4
36,59,55,5
31,56,55,6
26,54,55,7
21,50,55,8
17,49,55,9
11,47,55,10
6,44,55,11
1,42,55,12
62,2,56,0
58,6,56,1
53,10,56,2
48,15,56,3
43,19,56,4
38,23,56,5
33,27,56,6
28,31,56,7
22,35,56,8
15,39,56,9
10,42,56,10
4,46,56,11
71,62,57,0
69,57,57,1
66,52,57,2
64,47,57,3
61,43,57,4
58,40,57,5
55,35,57,6
51,32,57,7
48,28,57,8
44,24,57,9
